Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-05-31,mitch keller,4.5,107,2.0792313218390808,-2.4207686781609192,✅ Under,🔥🔥🔥🔥,,mitch keller,mitch keller,1.0,Under
2025-05-31,nick pivetta,6.5,-133,2.668517036124795,-3.831482963875205,✅ Under,🔥🔥🔥🔥🔥,,nick pivetta,nick pivetta,8.0,Over
2025-05-31,ryan pepiot,4.5,132,2.552564655172414,-1.947435344827586,✅ Under,🔥🔥🔥,,ryan pepiot,ryan pepiot,4.0,Over
2025-05-31,seth lugo,4.5,-116,2.487564655172414,-2.012435344827586,✅ Under,🔥🔥🔥🔥,,seth lugo,seth lugo,5.0,Over
2025-05-31,tony gonsolin,4.5,-125,2.4955835028914115,-2.0044164971085885,✅ Under,🔥🔥🔥🔥,,tony gonsolin,tony gonsolin,4.0,Over
2025-05-31,zebby matthews,5.5,-114,2.135183702791461,-3.3648162972085385,✅ Under,🔥🔥🔥🔥🔥,,zebby matthews,zebby matthews,7.0,Over
2025-05-31,antonio senzatela,3.5,134,1.5755835028914114,-1.9244164971085889,✅ Under,🔥🔥🔥,,antonio senzatela,antonio senzatela,4.0,Over
2025-05-31,bailey ober,5.5,104,2.222250169558078,-3.277749830441922,✅ Under,🔥🔥🔥🔥🔥,,bailey ober,bailey ober,3.0,Over
2025-05-31,chad patrick,4.5,122,1.702250169558078,-2.797749830441922,✅ Under,🔥🔥🔥🔥🔥,,chad patrick,chad patrick,6.0,Over
2025-05-31,colton gordon,4.5,112,2.5025400246305423,-1.9974599753694573,✅ Under,🔥🔥🔥,,colton gordon,colton gordon,4.0,Over
2025-05-31,davis martin,3.5,-106,1.7942313218390806,-1.7057686781609194,✅ Under,🔥🔥🔥,,davis martin,davis martin,2.0,Over
2025-05-31,edward cabrera,5.5,-102,2.655873357963876,-2.8441266420361244,✅ Under,🔥🔥🔥🔥🔥,,edward cabrera,edward cabrera,10.0,Over
2025-05-31,gunnar hoglund,3.5,-110,1.7142313218390806,-1.7857686781609194,✅ Under,🔥🔥🔥,,gunnar hoglund,gunnar hoglund,2.0,Over
2025-05-31,jesus luzardo,6.5,107,2.507564655172414,-3.992435344827586,✅ Under,🔥🔥🔥🔥🔥,,jesus luzardo,jesús luzardo,10.0,Over
2025-05-31,landon knack,4.5,-105,2.308916836224745,-2.191083163775255,✅ Under,🔥🔥🔥🔥,,landon knack,landon knack,5.0,Over
2025-05-31,michael wacha,4.5,104,1.960897988505748,-2.5391020114942524,✅ Under,🔥🔥🔥🔥🔥,,michael wacha,michael wacha,1.0,Under
2025-05-31,nick lodolo,4.5,-130,2.3458979885057474,-2.1541020114942526,✅ Under,🔥🔥🔥🔥,,nick lodolo,nick lodolo,6.0,Over
2025-05-31,patrick corbin,4.5,112,2.275873357963876,-2.2241266420361243,✅ Under,🔥🔥🔥🔥,,patrick corbin,patrick corbin,6.0,Over
