Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
67,Matthew Boyd,8,2025-05-11,34-098,CHC,@,NYM,"L, 2-6",GS-6,6.0,6,2,2,0,1,0,0,8,2,0,0,24,8,P
68,Hunter Brown,8,2025-05-27,26-271,HOU,,ATH,"W, 11-1","GS-6, W",6.0,6,1,1,0,1,0,0,8,0,0,0,21,6,P
69,Ben Brown,8,2025-05-19,25-252,CHC,@,MIA,"L, 7-8",GS-5,4.2,7,6,6,0,2,0,0,8,0,0,0,21,7,P
70,Corbin Burnes,8,2025-05-21,30-211,ARI,@,LAD,"L, 1-3","GS-7, L",7.0,4,3,3,0,1,1,0,8,0,0,0,26,5,P
71,Noah Cameron,8,2025-05-23,25-310,KCR,@,MIN,"L, 1-3",GS-7,6.2,4,1,1,0,1,1,0,8,0,0,0,25,6,P
72,Dylan Cease,8,2025-05-25,29-148,SDP,@,ATL,"W, 5-3",GS-5,5.0,6,3,3,0,0,1,0,8,0,0,1,20,7,P
73,Slade Cecconi,8,2025-05-17,25-327,CLE,@,CIN,"L, 1-4","GS-6, L",5.0,5,3,3,0,1,0,0,8,0,0,0,20,5,P
74,Garrett Crochet,8,2025-05-16,25-329,BOS,,ATL,"L, 2-4","GS-7, L",7.0,7,2,2,0,2,0,0,8,0,0,0,26,7,P
75,Bryce Elder,8,2025-05-09,25-355,ATL,@,PIT,"L, 2-3","GS-6, L",6.0,5,3,3,0,2,0,0,8,0,0,0,22,5,P
76,Erick Fedde,8,2025-05-09,32-073,STL,@,WSN,"W, 10-0","SHO, W",9.0,6,0,0,0,0,0,0,8,0,0,0,31,6,P
77,Jack Flaherty,8,2025-05-03,29-200,DET,@,LAA,"L, 2-5","GS-6, L",5.2,8,5,4,1,0,1,0,8,0,0,0,26,10,P
78,Jack Flaherty,8,2025-05-22,29-219,DET,,CLE,"L, 0-7","GS-7, L",6.2,3,3,3,0,1,3,0,8,0,0,0,26,6,P
79,Jack Flaherty,8,2025-05-27,29-224,DET,,SFG,"W, 3-1","GS-6, W",6.0,2,0,0,0,0,1,0,8,1,0,0,21,4,P
80,Max Fried,8,2025-05-07,31-109,NYY,,SDP,"W, 4-3 (10)",GS-7,7.0,5,1,1,0,1,0,0,8,0,0,0,27,6,P
81,Max Fried,8,2025-05-18,31-120,NYY,,NYM,"W, 8-2",GS-6,6.0,3,2,2,0,0,2,0,8,0,0,1,23,5,P
82,Zac Gallen,8,2025-05-01,29-271,ARI,@,NYM,"W, 4-2","GS-6, W",6.0,2,1,1,0,1,3,0,8,0,0,0,23,5,P
83,Tony Gonsolin,8,2025-05-06,30-357,LAD,@,MIA,"L, 4-5 (10)",GS-5,5.0,4,2,2,0,1,2,0,8,0,0,1,20,6,P
84,MacKenzie Gore,8,2025-05-29,26-094,WSN,@,SEA,"W, 9-3 (10)",GS-6,6.0,4,0,0,0,0,0,0,8,1,0,1,22,5,P
85,Sonny Gray,8,2025-05-07,35-181,STL,,PIT,"W, 5-0","GS-7, W",7.0,2,0,0,0,0,1,0,8,0,0,0,25,3,P
86,Mitch Keller,8,2025-05-13,29-039,PIT,@,NYM,"L, 1-2","GS-7, L",7.0,5,2,2,0,1,1,0,8,0,0,0,27,6,P
87,Merrill Kelly,8,2025-05-12,36-210,ARI,@,SFG,"W, 2-1","GS-7, W",7.0,8,1,1,0,0,0,0,8,0,0,0,27,8,P
88,Michael King,8,2025-05-12,29-352,SDP,,LAA,"L, 5-9",GS-6,5.2,4,3,2,1,1,2,0,8,0,0,0,23,6,P
89,Michael King,8,2025-05-18,29-358,SDP,,SEA,"L, 1-6","GS-6, L",5.1,6,4,3,1,1,1,0,8,0,0,0,24,8,P
90,Landon Knack,8,2025-05-13,27-302,LAD,,ATH,"L, 1-11","GS-5, L",4.2,7,5,5,0,2,1,0,8,0,0,0,21,8,P
91,Dean Kremer,8,2025-05-08,29-121,BAL,@,MIN,"L, 2-5",GS-7,7.0,3,2,2,0,1,2,0,8,0,0,0,25,5,P
92,Matthew Liberatore,8,2025-05-06,25-181,STL,,PIT,"W, 2-1","GS-7, W",7.0,3,1,1,0,0,3,0,8,0,0,1,27,6,P
93,Jacob Lopez,8,2025-05-23,27-073,ATH,,PHI,"L, 3-4","GS-7, L",7.0,3,1,1,0,1,1,0,8,1,0,0,26,5,P
94,Dustin May,8,2025-05-16,27-252,LAD,,LAA,"L, 2-6","GS-5, L",5.0,6,4,4,0,1,2,0,8,2,0,0,24,10,P
95,Dustin May,8,2025-05-21,27-257,LAD,,ARI,"W, 3-1","GS-6, W",6.0,5,1,1,0,1,1,0,8,1,0,0,24,7,P
96,Lance McCullers Jr.,8,2025-05-22,31-232,HOU,,SEA,"W, 9-2",GS-5,4.1,5,2,2,0,1,3,0,8,0,0,0,22,8,P
97,Casey Mize,8,2025-05-08 (1),28-007,DET,@,COL,"W, 10-2","GS-6, W",6.0,3,1,1,0,0,0,0,8,0,0,0,21,3,P
98,Aaron Nola,8,2025-05-03,31-333,PHI,,ARI,"W, 7-2","GS-6, W",6.0,4,0,0,0,0,1,0,8,1,0,0,23,6,P
99,Reese Olson,8,2025-05-04,25-277,DET,@,LAA,"W, 13-1","GS-6, W",5.2,3,0,0,0,0,3,0,8,1,0,1,24,7,P
100,Nick Pivetta,8,2025-05-30,32-105,SDP,,PIT,"W, 3-2","GS-6, W",6.0,6,2,2,0,0,0,0,8,0,0,0,23,6,P
101,Cole Ragans,8,2025-05-10,27-149,KCR,,BOS,"L, 1-10","GS-5, L",5.0,7,4,4,0,0,2,0,8,0,0,0,23,9,P
102,Robbie Ray,8,2025-05-02,33-213,SFG,,COL,"W, 4-0","GS-7, W",7.0,2,0,0,0,0,2,0,8,0,0,0,24,4,P
103,Colin Rea,8,2025-05-24,34-327,CHC,@,CIN,"L, 4-6","GS-5, L",5.0,7,6,6,0,1,3,0,8,0,0,2,25,10,P
104,Carlos Rodón,8,2025-05-22,32-163,NYY,,TEX,"W, 1-0","GS-6, W",6.0,2,0,0,0,0,2,0,8,0,0,1,22,4,P
105,Joe Ryan,8,2025-05-02,28-331,MIN,@,BOS,"L, 1-6",GS-6,6.0,4,1,1,0,1,1,0,8,0,0,0,24,6,P
106,Chris Sale,8,2025-05-16,36-047,ATL,@,BOS,"W, 4-2","GS-7, W",7.0,5,1,1,0,1,2,0,8,0,0,0,25,7,P
107,Chris Sale,8,2025-05-29 (2),36-060,ATL,@,PHI,"W, 9-3","GS-6, W",6.0,2,0,0,0,0,3,0,8,1,0,0,24,6,P
108,Chris Sale,8,2025-05-11,36-042,ATL,@,PIT,"L, 3-4",GS-6,5.2,8,3,2,1,0,2,0,8,1,0,0,27,11,P
109,Cristopher Sánchez,8,2025-05-12,28-151,PHI,,STL,"L, 2-3",GS-6,6.0,4,2,2,0,1,3,0,8,1,0,1,26,8,P
110,Clarke Schmidt,8,2025-05-23,29-092,NYY,@,COL,"L, 2-3","GS-5, L",4.2,6,3,3,0,0,2,0,8,0,0,1,21,8,P
111,Paul Skenes,8,2025-05-23,22-359,PIT,,MIL,"W, 6-5 (10)",GS-6,6.0,4,1,1,0,0,2,0,8,0,0,0,24,6,P
