Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR
1447,MIA,2025-05-13,5,@,CHC,L 4-5,8.1,6,5,3,2,1,3,0,5,1,0,0,36,11
1448,MIA,2025-05-02,5,,ATH,L 1-6,9.0,7,6,5,1,1,4,0,5,2,1,0,42,15
1449,MIA,2025-04-29,5,@,LAD,L 2-15,8.0,18,15,14,1,2,8,0,5,0,0,3,50,26
1450,MIA,2025-04-13,5,,WSN,W 11-4,9.0,10,4,4,0,0,8,0,5,0,0,2,41,18
1451,MIA,2025-04-09,5,@,NYM,W 5-0,9.0,2,0,0,0,0,2,0,5,0,0,0,30,4
1452,MIA,2025-04-07,5,@,NYM,L 0-2,8.0,9,2,2,0,0,5,0,5,0,0,0,36,14
1453,HOU,2025-05-20,5,@,TBR,L 2-3,8.2,6,3,3,0,0,4,0,5,1,0,0,35,11
1454,HOU,2025-05-04,5,@,CHW,L 4-5 (7),6.0,7,5,2,3,0,6,0,5,1,0,1,33,15
1455,HOU,2025-04-26,5,@,KCR,L 0-2,8.0,3,2,2,0,1,2,0,5,0,0,0,29,5
1456,HOU,2025-04-15,5,@,STL,W 2-0,9.0,6,0,0,0,0,2,0,5,0,0,0,33,8
1457,KCR,2025-05-28,5,,CIN,W 3-2,9.0,9,2,2,0,0,2,0,5,0,0,0,37,11
1458,KCR,2025-05-06,5,,CHW,W 4-3,9.0,10,3,2,1,0,3,0,5,0,0,1,39,13
1459,KCR,2025-04-19,5,@,DET,L 1-3,8.0,5,3,3,0,1,3,0,5,0,0,0,32,8
1460,KCR,2025-04-07,5,,MIN,W 4-2,9.0,7,2,2,0,0,2,0,5,1,0,1,36,10
1461,KCR,2025-04-04,5,,BAL,W 8-2,9.0,6,2,1,1,0,2,0,5,0,0,0,33,9
1462,KCR,2025-03-29,5,,CLE,W 4-3,9.0,5,3,3,0,1,4,0,5,0,0,0,33,9
1463,KCR,2025-03-27,5,,CLE,L 4-7 (10),10.0,10,7,6,1,1,3,1,5,0,0,0,42,13
1464,LAD,2025-05-19,5,,ARI,L 5-9,9.0,11,9,9,0,3,3,0,5,0,0,1,41,14
1465,LAD,2025-05-08,5,@,ARI,L 3-5,8.0,9,5,5,0,2,2,1,5,1,0,0,34,12
1466,MIL,2025-05-16,5,,MIN,L 0-3,9.0,9,3,3,0,0,1,0,5,1,0,0,37,11
1467,MIL,2025-05-11,5,@,TBR,W 4-2,9.0,8,2,2,0,0,2,0,5,0,0,0,35,10
1468,MIL,2025-05-07,5,,HOU,L 1-9,9.0,8,9,7,2,1,7,0,5,0,0,0,43,16
1469,MIL,2025-04-11,5,@,ARI,W 7-0,9.0,4,0,0,0,0,1,0,5,0,1,0,30,6
1470,MIL,2025-03-29,5,@,NYY,L 9-20,8.0,16,20,18,2,9,8,0,5,2,0,0,51,27
1471,MIN,2025-03-31,5,@,CHW,L 0-9,8.0,8,9,9,0,3,5,0,5,0,0,1,38,14
1472,MIN,2025-03-27,5,@,STL,L 3-5,8.0,10,5,3,2,2,2,0,5,0,1,0,35,12
1473,NYM,2025-05-19,5,@,BOS,L 1-3,8.0,8,3,3,0,0,4,0,5,0,0,1,36,13
1474,NYM,2025-05-04 (1),5,@,STL,L 5-6,8.0,11,6,6,0,1,5,0,5,2,0,0,41,18
1475,NYM,2025-05-02,5,@,STL,W 9-3,9.0,9,3,3,0,0,1,0,5,0,0,0,35,10
1476,NYM,2025-04-15,5,@,MIN,L 3-6,8.0,13,6,4,2,1,0,0,5,2,0,0,37,16
1477,NYY,2025-04-27 (1),5,,TOR,W 11-2,9.0,10,2,1,1,0,3,0,5,0,0,2,40,14
1478,ATH,2025-05-28,5,@,HOU,L 3-5,8.0,7,5,4,1,1,4,0,5,1,0,0,37,13
1479,ATH,2025-05-18,5,@,SFG,L 2-3,8.0,5,3,3,0,1,2,0,5,0,0,0,30,7
1480,ATH,2025-05-13,5,@,LAD,W 11-1,9.0,8,1,1,0,0,2,0,5,0,0,0,36,11
1481,ATH,2025-04-27,5,,CHW,W 3-2 (10),10.0,9,2,1,1,1,4,0,5,1,0,0,41,14
1482,ATH,2025-04-16,5,@,CHW,W 3-1,9.0,7,1,1,0,1,4,0,5,0,0,1,37,11
1483,ATH,2025-04-07,5,,SDP,L 4-5,9.0,9,5,5,0,2,1,0,5,0,1,0,36,10
1484,ATH,2025-04-05,5,@,COL,W 7-4,9.0,9,4,4,0,2,3,0,5,0,0,1,38,12
1485,PHI,2025-04-12,5,@,STL,W 4-1,9.0,9,1,1,0,0,2,0,5,0,0,1,34,11
1486,PIT,2025-05-22,5,,MIL,L 5-8,9.0,10,8,8,0,3,3,1,5,0,0,0,38,13
1487,PIT,2025-05-20,5,,CIN,W 1-0,9.0,5,0,0,0,0,0,0,5,0,0,0,30,5
1488,PIT,2025-05-11,5,,ATL,W 4-3,9.0,8,3,3,0,0,2,0,5,0,0,0,36,10
1489,PIT,2025-05-05,5,@,STL,L 3-6,8.0,11,6,6,0,3,3,0,5,1,0,0,37,15
1490,PIT,2025-04-17,5,,WSN,W 1-0,9.0,5,0,0,0,0,2,0,5,0,0,0,33,7
1491,PIT,2025-03-30,5,@,MIA,L 2-3,8.0,7,3,2,1,1,2,0,5,1,0,1,33,10
1492,SDP,2025-05-28,5,,MIA,L 8-10,9.0,13,10,7,3,3,1,0,5,1,0,1,41,15
1493,SDP,2025-04-27,5,,TBR,L 2-4,9.0,10,4,4,0,1,2,0,5,1,0,1,38,13
1494,SDP,2025-04-21,5,@,DET,L 4-6,8.0,11,6,6,0,0,7,1,5,2,0,0,41,20
1495,SDP,2025-04-04,5,@,CHC,L 1-3,8.0,3,3,2,1,0,7,0,5,1,0,0,36,11
1496,SDP,2025-03-29,5,,ATL,W 1-0,9.0,5,0,0,0,0,5,0,5,0,0,0,34,10
1497,SEA,2025-05-27,5,,WSN,W 9-1,9.0,4,1,1,0,1,1,0,5,0,0,0,30,5
1498,SEA,2025-05-24,5,@,HOU,L 1-2,8.0,12,2,2,0,0,0,0,5,1,0,0,34,13
1499,SEA,2025-05-18,5,@,SDP,W 6-1,9.0,7,1,1,0,1,2,0,5,0,0,0,34,9
1500,SEA,2025-05-05,5,@,ATH,L 6-7 (11),10.1,13,7,5,2,1,5,2,5,2,0,0,52,20
1501,SEA,2025-04-09,5,,HOU,W 7-6,9.0,10,6,5,1,0,7,0,5,0,0,1,45,17
1502,SEA,2025-04-05,5,@,SFG,L 1-4,8.0,10,4,4,0,0,4,0,5,0,0,0,35,14
1503,SEA,2025-03-31,5,,DET,L 6-9,9.0,18,9,9,0,1,4,0,5,0,0,0,46,22
