Rk,Player,SO,"App,Dec",IP,Date,Age,Team,Unnamed: 8,Opp,Result,"App,Dec.1",IP.1,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
51,Jack Kochanowicz,5,"GS-7, L",6.2,2025-05-26,24-155,LAA,,NYY,"L, 1-5","GS-7, L",6.2,5,4,4,0,0,2,0,5,1,0,0,28,8,P
52,Tyler Mahle,5,GS-6,6.0,2025-05-28,30-241,TEX,,TOR,"L, 0-2",GS-6,6.0,4,0,0,0,0,3,0,5,0,0,0,24,7,P
53,Charlie Morton,5,"GS-6, W",6.0,2025-05-26,41-195,BAL,,STL,"W, 5-2","GS-6, W",6.0,4,2,2,0,1,2,0,5,1,0,0,24,7,P
54,Chris Paddack,5,"GS-6, L",5.1,2025-05-26,29-138,MIN,@,TBR,"L, 2-7","GS-6, L",5.1,5,2,2,0,0,0,0,5,0,0,0,21,5,P
55,Ryan Pepiot,5,"GS-7, W",7.0,2025-05-25,27-277,TBR,,TOR,"W, 13-0","GS-7, W",7.0,3,0,0,0,0,1,0,5,0,0,0,24,4,P
56,Brandon Pfaadt,5,GS-6,5.2,2025-05-25,26-222,ARI,@,STL,"L, 3-4",GS-6,5.2,5,3,3,0,1,1,0,5,0,0,1,23,6,P
57,Drew Rasmussen,5,"GS-6, W",6.0,2025-05-28,29-305,TBR,,MIN,"W, 5-0","GS-6, W",6.0,1,0,0,0,0,1,0,5,1,0,0,20,3,P
58,Joe Ryan,5,"GS-6, W",6.0,2025-05-27,28-356,MIN,@,TBR,"W, 4-2","GS-6, W",6.0,5,1,1,0,0,1,0,5,1,1,0,23,7,P
59,Cristopher Sánchez,5,GS-6,5.2,2025-05-29 (1),28-168,PHI,,ATL,"W, 5-4",GS-6,5.2,7,2,2,0,0,2,0,5,0,0,0,24,9,P
60,Kodai Senga,5,"GS-6, W",5.1,2025-05-25,32-115,NYM,,LAD,"W, 3-1","GS-6, W",5.1,5,1,1,0,1,4,0,5,0,0,0,24,10,P
61,Shane Smith,5,GS-4,3.2,2025-05-28,25-054,CHW,@,NYM,"W, 9-4",GS-4,3.2,2,3,3,0,1,5,0,5,1,0,0,19,8,P
62,Randy Vásquez,5,GS-7,6.1,2025-05-26,26-204,SDP,,MIA,"W, 4-3 (11)",GS-7,6.1,6,3,3,0,1,1,0,5,0,0,0,24,7,P
63,Ben Brown,4,GS-5,4.1,2025-05-25,25-258,CHC,@,CIN,"W, 11-8",GS-5,4.1,7,8,8,0,0,2,0,4,0,0,1,22,9,P
64,Jonathan Cannon,4,"GS-6, L",5.2,2025-05-27,24-312,CHW,@,NYM,"L, 4-6","GS-6, L",5.2,9,5,5,0,2,1,0,4,1,0,0,28,11,P
65,Aaron Civale,4,GS-6,5.0,2025-05-27,29-349,MIL,,BOS,"W, 5-1 (10)",GS-6,5.0,3,1,1,0,0,1,0,4,0,0,0,18,4,P
66,Logan Evans,4,"GS-8, W",8.0,2025-05-27,23-356,SEA,,WSN,"W, 9-1","GS-8, W",8.0,4,1,1,0,1,1,0,4,0,0,0,27,5,P
67,Colton Gordon,4,GS-5,5.0,2025-05-25,26-156,HOU,,SEA,"W, 5-3",GS-5,5.0,7,3,3,0,0,0,0,4,1,0,1,23,8,P
68,Ryan Gusto,4,GS-4,3.2,2025-05-29,26-079,HOU,,TBR,"L, 3-13",GS-4,3.2,4,2,2,0,0,3,0,4,0,0,0,18,7,P
69,Emerson Hancock,4,GS-6,5.1,2025-05-29,25-363,SEA,,WSN,"L, 3-9 (10)",GS-6,5.1,2,2,2,0,0,3,0,4,0,0,0,19,5,P
70,Jackson Jobe,4,GS-5,4.2,2025-05-28,22-302,DET,,SFG,"W, 4-3",GS-5,4.2,7,3,3,0,1,3,0,4,0,0,0,23,10,P
71,Yusei Kikuchi,4,"GS-5, L",5.0,2025-05-28,33-345,LAA,,NYY,"L, 0-1","GS-5, L",5.0,4,1,1,0,0,5,2,4,0,0,0,23,9,P
72,George Kirby,4,"GS-5, L",5.0,2025-05-28,27-113,SEA,,WSN,"L, 0-9","GS-5, L",5.0,7,6,6,0,3,2,0,4,0,0,0,23,10,P
73,Dean Kremer,4,"GS-6, W",5.1,2025-05-25,29-138,BAL,@,BOS,"W, 5-1","GS-6, W",5.1,7,0,0,0,0,1,0,4,0,0,0,23,8,P
74,Zack Littell,4,"GS-7, W",6.1,2025-05-26,29-233,TBR,,MIN,"W, 7-2","GS-7, W",6.1,3,1,1,0,0,0,0,4,1,0,0,21,4,P
75,Ryne Nelson,4,"GS-7, W",6.2,2025-05-26,27-114,ARI,,PIT,"W, 5-0","GS-7, W",6.2,4,0,0,0,0,0,0,4,0,0,0,24,4,P
76,Carson Palmquist,4,"GS-5, L",5.0,2025-05-26,24-221,COL,@,CHC,"L, 1-3","GS-5, L",5.0,3,2,2,0,0,3,0,4,0,0,0,21,6,P
77,Mitchell Parker,4,"GS-5, L",4.2,2025-05-27,25-242,WSN,@,SEA,"L, 1-9","GS-5, L",4.2,7,4,4,0,3,1,0,4,0,0,0,21,8,P
78,Clarke Schmidt,4,"GS-6, W",6.0,2025-05-28,29-097,NYY,@,LAA,"W, 1-0","GS-6, W",6.0,4,0,0,0,0,1,0,4,0,0,1,22,5,P
79,Antonio Senzatela,4,"GS-5, L",4.1,2025-05-25,30-124,COL,,NYY,"L, 4-5","GS-5, L",4.1,6,4,4,0,0,1,0,4,0,0,1,20,7,P
80,Luis Severino,4,GS-6,6.0,2025-05-28,31-097,ATH,@,HOU,"L, 3-5",GS-6,6.0,3,2,1,1,0,2,0,4,1,0,0,25,7,P
81,Joey Wentz,4,"4-7, W",3.2,2025-05-27,27-233,PIT,@,ARI,"W, 9-6","4-7, W",3.2,3,1,1,0,0,0,0,4,0,0,0,14,3,P
