Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
322,HOU,2025-04-03,2,@,MIN,W 5-2,37,35,5,9,4,3,0,2.0,5,0,1,0,12,0.257,0.297,0.514,0.812,18,0,2,0,0,0,
323,KCR,2025-03-31,2,@,MIL,W 11-1,48,41,11,14,10,2,0,2.0,11,2,0,5,7,0.341,0.438,0.537,0.974,22,0,2,0,0,0,
324,LAD,2025-05-30,2,,NYY,W 8-5,37,35,8,12,7,3,0,2.0,8,0,0,2,4,0.343,0.378,0.6,0.978,21,2,0,0,0,1,
325,LAD,2025-05-26,2,@,CLE,W 7-2,42,33,7,8,6,0,0,2.0,7,0,1,8,8,0.242,0.381,0.424,0.805,14,0,0,0,1,0,
326,LAD,2025-05-17,2,,LAA,L 9-11,47,41,9,15,12,1,0,2.0,7,1,0,5,7,0.366,0.447,0.537,0.983,22,1,1,0,0,0,
327,LAD,2025-05-11,2,@,ARI,W 8-1,44,41,8,18,12,4,0,2.0,8,1,2,2,7,0.439,0.455,0.683,1.137,28,0,0,0,1,0,
328,LAD,2025-05-09,2,@,ARI,W 14-11,48,41,14,15,8,5,0,2.0,12,1,0,4,11,0.366,0.417,0.634,1.051,26,0,1,0,2,0,
329,LAD,2025-05-06,2,@,MIA,L 4-5 (10),40,35,4,8,3,3,0,2.0,4,1,0,5,11,0.229,0.325,0.486,0.811,17,2,0,0,0,1,
330,LAD,2025-05-05,2,@,MIA,W 7-4,40,39,7,13,8,2,1,2.0,7,2,0,1,8,0.333,0.35,0.59,0.94,23,0,0,0,0,0,
331,LAD,2025-05-03,2,@,ATL,W 10-3,44,39,10,12,8,2,0,2.0,9,0,0,4,12,0.308,0.386,0.513,0.899,20,0,1,0,0,0,
332,LAD,2025-04-30,2,,MIA,W 12-7,45,40,12,17,10,2,3,2.0,11,3,0,5,7,0.425,0.489,0.775,1.264,31,2,0,0,0,0,
333,LAD,2025-04-29,2,,MIA,W 15-2,50,40,15,18,10,6,0,2.0,15,4,0,8,5,0.45,0.531,0.75,1.281,30,1,0,0,1,0,
334,LAD,2025-04-27,2,,PIT,W 9-2,42,36,9,14,11,1,0,2.0,8,0,0,5,3,0.389,0.452,0.583,1.036,21,2,0,0,1,0,
335,LAD,2025-04-26,2,,PIT,W 8-4,40,35,8,11,3,5,1,2.0,7,2,0,5,6,0.314,0.4,0.686,1.086,24,1,0,0,0,0,
336,LAD,2025-04-23,2,@,CHC,L 6-7,38,37,6,11,7,2,0,2.0,6,0,0,1,8,0.297,0.316,0.514,0.829,19,1,0,0,0,0,
337,LAD,2025-04-16,2,,COL,W 8-7,38,33,8,10,6,2,0,2.0,8,1,0,4,10,0.303,0.395,0.545,0.94,18,1,1,0,0,0,
338,LAD,2025-04-14,2,,COL,W 5-3,39,32,5,10,6,2,0,2.0,5,0,0,5,3,0.313,0.41,0.563,0.973,18,2,1,0,1,0,
339,LAD,2025-04-09,2,@,WSN,W 6-5,40,35,6,8,5,0,1,2.0,6,1,0,4,10,0.229,0.325,0.457,0.782,16,0,1,0,0,0,
340,LAD,2025-04-08,2,@,WSN,L 2-8,41,36,2,8,6,0,0,2.0,2,0,0,5,15,0.222,0.317,0.389,0.706,14,0,0,0,0,0,
341,LAD,2025-04-06,2,@,PHI,L 7-8,39,35,7,9,4,3,0,2.0,7,0,0,2,10,0.257,0.308,0.514,0.822,18,0,1,0,1,0,
342,LAD,2025-04-05,2,@,PHI,W 3-1,35,33,3,7,4,1,0,2.0,3,0,0,2,3,0.212,0.257,0.424,0.681,14,1,0,0,0,0,
343,LAD,2025-03-31,2,,ATL,W 6-1,38,31,6,9,6,1,0,2.0,6,1,0,6,7,0.29,0.395,0.516,0.911,16,1,0,0,1,0,
344,MIL,2025-05-30,2,@,PHI,W 6-2,43,39,6,12,7,3,0,2.0,6,5,0,4,13,0.308,0.372,0.538,0.911,21,0,0,0,0,0,
345,MIL,2025-05-14,2,@,CLE,W 9-5,43,38,9,13,8,3,0,2.0,9,0,2,4,9,0.342,0.419,0.579,0.998,22,0,1,0,0,0,
346,MIL,2025-05-11,2,@,TBR,W 4-2,37,34,4,7,5,0,0,2.0,4,3,0,3,7,0.206,0.27,0.382,0.653,13,0,0,0,0,0,
347,MIL,2025-05-10,2,@,TBR,L 2-3,34,32,2,4,1,1,0,2.0,2,0,1,2,7,0.125,0.176,0.344,0.52,11,0,0,0,0,0,
348,MIL,2025-04-22,2,@,SFG,W 11-3,45,40,11,13,9,2,0,2.0,10,0,0,4,6,0.325,0.4,0.525,0.925,21,1,1,0,0,0,
349,MIL,2025-04-06,2,,CIN,W 8-2,35,29,8,8,5,1,0,2.0,7,0,0,3,5,0.276,0.333,0.517,0.851,15,0,0,2,1,0,
350,MIL,2025-04-01,2,,KCR,W 5-0,33,30,5,7,5,0,0,2.0,5,1,0,3,8,0.233,0.303,0.433,0.736,13,1,0,0,0,0,
351,MIN,2025-05-24,2,,KCR,W 5-4,39,34,5,9,7,0,0,2.0,5,0,0,3,3,0.265,0.359,0.441,0.8,15,1,2,0,0,0,
352,MIN,2025-05-23,2,,KCR,W 3-1,32,31,3,6,3,1,0,2.0,3,0,0,1,11,0.194,0.219,0.419,0.638,13,1,0,0,0,0,
353,MIN,2025-05-17,2,@,MIL,W 7-0,45,43,7,18,12,3,1,2.0,7,0,0,1,10,0.419,0.422,0.674,1.097,29,0,0,0,1,0,
354,MIN,2025-05-15,2,@,BAL,W 4-0,36,33,4,7,3,2,0,2.0,4,0,0,3,7,0.212,0.278,0.455,0.732,15,1,0,0,0,0,
355,MIN,2025-05-14 (1),2,@,BAL,W 6-3,40,36,6,9,5,2,0,2.0,5,0,0,4,8,0.25,0.325,0.472,0.797,17,0,0,0,0,0,
356,MIN,2025-05-07,2,,BAL,W 5-2,33,30,5,8,6,0,0,2.0,5,0,1,2,6,0.267,0.333,0.467,0.8,14,1,1,0,0,0,
357,MIN,2025-05-06,2,,BAL,W 9-1,36,35,9,10,6,2,0,2.0,9,0,0,1,7,0.286,0.306,0.514,0.82,18,1,0,0,0,0,
358,MIN,2025-04-28,2,@,CLE,W 11-1,46,43,11,17,12,3,0,2.0,11,0,0,3,5,0.395,0.435,0.605,1.039,26,0,0,0,0,0,
359,MIN,2025-04-25,2,,LAA,W 11-4,40,28,11,8,3,2,1,2.0,11,0,0,8,6,0.286,0.45,0.643,1.093,18,2,2,0,2,0,
360,MIN,2025-04-23,2,,CHW,W 6-3,43,34,6,12,7,3,0,2.0,6,2,0,6,7,0.353,0.476,0.618,1.094,21,1,2,0,0,0,
361,MIN,2025-04-13,2,,DET,W 5-1,34,33,5,9,5,2,0,2.0,5,0,0,1,3,0.273,0.294,0.515,0.809,17,0,0,0,0,0,
362,MIN,2025-04-09,2,@,KCR,W 4-0,35,31,4,7,3,2,0,2.0,4,0,0,3,10,0.226,0.314,0.484,0.798,15,1,1,0,0,1,
363,MIN,2025-04-02,2,@,CHW,W 6-1,36,35,6,8,3,3,0,2.0,6,0,1,0,4,0.229,0.25,0.486,0.736,17,0,1,0,0,0,
364,NYM,2025-05-27,2,,CHW,W 6-4,38,35,6,12,8,2,0,2.0,6,0,0,1,6,0.343,0.368,0.571,0.94,20,0,1,0,1,0,
365,NYM,2025-05-10,2,,CHC,L 5-6,38,34,5,8,6,0,0,2.0,5,2,0,2,12,0.235,0.297,0.412,0.709,14,1,1,0,0,0,
366,NYM,2025-05-07,2,@,ARI,W 7-1,39,35,7,8,1,4,1,2.0,7,3,0,3,8,0.229,0.282,0.571,0.853,20,0,0,0,1,0,
