Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
215,ARI,2025-04-01,2.0,@,NYY,W 7-5,38.0,31.0,7.0,5.0,2.0,1.0,0.0,2.0,7.0,1.0,0.0,7.0,11.0,0.161,0.316,0.387,0.703,12.0,1.0,0.0,0.0,0.0,0.0,
216,ARI,2025-03-28,2.0,,CHC,W 8-1,39.0,37.0,8.0,14.0,6.0,6.0,0.0,2.0,8.0,1.0,0.0,0.0,7.0,0.378,0.395,0.703,1.097,26.0,0.0,1.0,1.0,0.0,0.0,
217,ATL,2025-05-29 (2),2.0,@,PHI,W 9-3,43.0,35.0,9.0,8.0,4.0,2.0,0.0,2.0,9.0,0.0,0.0,8.0,7.0,0.229,0.372,0.457,0.829,16.0,0.0,0.0,0.0,0.0,0.0,
218,ATL,2025-05-24,2.0,,SDP,W 7-1,41.0,36.0,7.0,13.0,10.0,1.0,0.0,2.0,7.0,0.0,0.0,3.0,9.0,0.361,0.439,0.556,0.995,20.0,1.0,2.0,0.0,0.0,0.0,
219,ATL,2025-05-22,2.0,@,WSN,L 7-8 (10),43.0,39.0,7.0,10.0,7.0,1.0,0.0,2.0,7.0,1.0,0.0,4.0,8.0,0.256,0.326,0.436,0.761,17.0,1.0,0.0,0.0,0.0,0.0,
220,ATL,2025-05-16,2.0,@,BOS,W 4-2,37.0,32.0,4.0,7.0,5.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,9.0,0.219,0.324,0.406,0.731,13.0,1.0,0.0,0.0,0.0,0.0,
221,ATL,2025-05-04,2.0,,LAD,W 4-3,34.0,31.0,4.0,8.0,6.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,7.0,0.258,0.324,0.452,0.775,14.0,0.0,1.0,0.0,0.0,0.0,
222,ATL,2025-04-22,2.0,,STL,L 4-10,41.0,35.0,4.0,8.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,6.0,5.0,0.229,0.341,0.457,0.799,16.0,0.0,0.0,0.0,0.0,0.0,
223,ATL,2025-04-21,2.0,,STL,W 7-6,35.0,29.0,7.0,8.0,6.0,0.0,0.0,2.0,7.0,0.0,0.0,5.0,6.0,0.276,0.371,0.483,0.854,14.0,2.0,0.0,0.0,1.0,0.0,
224,ATL,2025-04-11,2.0,@,TBR,L 3-6,37.0,35.0,3.0,8.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,9.0,0.229,0.27,0.457,0.727,16.0,0.0,0.0,0.0,0.0,0.0,
225,ATL,2025-04-04,2.0,,MIA,W 10-0,44.0,40.0,10.0,16.0,12.0,2.0,0.0,2.0,10.0,0.0,0.0,3.0,9.0,0.4,0.455,0.6,1.055,24.0,0.0,1.0,0.0,0.0,0.0,
226,ATL,2025-03-27,2.0,@,SDP,L 4-7,41.0,35.0,4.0,7.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,10.0,0.2,0.317,0.371,0.689,13.0,0.0,0.0,0.0,0.0,0.0,
227,BAL,2025-05-25,2.0,@,BOS,W 5-1,37.0,33.0,5.0,7.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,5.0,0.212,0.27,0.455,0.725,15.0,1.0,0.0,0.0,1.0,0.0,
228,BAL,2025-05-19,2.0,@,MIL,L 4-5,37.0,33.0,4.0,6.0,3.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,9.0,0.182,0.27,0.394,0.664,13.0,0.0,0.0,0.0,0.0,0.0,
