Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Wind Speed,Temp,Unnamed: 6
65,KCR,2025-04-13,14.0,@,CLE,W 4-2,9.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,31.0,5.0,,,
66,LAD,2025-05-06,14.0,@,MIA,L 4-5 (10),9.0,11.0,5.0,4.0,1.0,1.0,5.0,1.0,14.0,0.0,0.0,2.0,40.0,16.0,,,
67,LAD,2025-03-31,14.0,,ATL,W 6-1,9.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,14.0,0.0,0.0,0.0,35.0,8.0,,,
68,MIL,2025-04-20,14.0,,ATH,W 14-1,9.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,31.0,5.0,,,
69,MIL,2025-04-08,14.0,@,COL,W 7-1,9.0,5.0,1.0,1.0,0.0,1.0,4.0,0.0,14.0,0.0,0.0,0.0,36.0,9.0,,,
70,MIL,2025-04-02,14.0,,KCR,W 3-2 (11),11.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,37.0,5.0,,,
71,NYM,2025-04-08,14.0,,MIA,W 10-5,9.0,7.0,5.0,5.0,0.0,1.0,3.0,0.0,14.0,0.0,0.0,0.0,36.0,10.0,,,
72,NYY,2025-05-20,14.0,,TEX,W 5-2,9.0,8.0,2.0,2.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,2.0,37.0,10.0,,,
73,NYY,2025-05-10,14.0,@,ATH,L 7-11,8.0,14.0,11.0,11.0,0.0,3.0,2.0,0.0,14.0,0.0,0.0,1.0,41.0,16.0,,,
74,NYY,2025-04-13,14.0,,SFG,L 4-5,9.0,4.0,5.0,4.0,1.0,2.0,5.0,0.0,14.0,0.0,0.0,0.0,37.0,10.0,,,
75,NYY,2025-04-09,14.0,@,DET,W 4-3,9.0,8.0,3.0,3.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,37.0,10.0,,,
76,ATH,2025-04-04,14.0,@,COL,W 6-3 (11),11.0,11.0,3.0,3.0,0.0,0.0,6.0,2.0,14.0,0.0,0.0,0.0,47.0,17.0,,,
77,PHI,2025-05-18,14.0,,PIT,W 1-0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,32.0,7.0,,,
78,PHI,2025-04-23,14.0,@,NYM,L 3-4 (10),9.2,10.0,4.0,3.0,1.0,1.0,3.0,1.0,14.0,0.0,0.0,0.0,42.0,13.0,,,
79,PHI,2025-04-17,14.0,,SFG,W 6-4,9.0,6.0,4.0,3.0,1.0,2.0,1.0,0.0,14.0,1.0,0.0,0.0,36.0,10.0,,,
80,PHI,2025-04-02,14.0,,COL,W 5-1,9.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,14.0,1.0,0.0,1.0,33.0,7.0,,,
81,SDP,2025-05-30,14.0,,PIT,W 3-2,9.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,35.0,9.0,,,
82,SDP,2025-04-29,14.0,,SFG,W 7-4,9.0,7.0,4.0,4.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,35.0,8.0,,,
83,SFG,2025-04-02,14.0,@,HOU,W 6-3,9.0,7.0,3.0,3.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,39.0,12.0,,,
84,TBR,2025-04-14,14.0,,BOS,W 16-1,9.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,32.0,6.0,,,
85,TEX,2025-05-14,14.0,,COL,W 8-3,9.0,7.0,3.0,3.0,0.0,2.0,2.0,0.0,14.0,1.0,0.0,0.0,36.0,10.0,,,
86,TOR,2025-05-07,14.0,@,LAA,L 4-5,8.1,9.0,5.0,5.0,0.0,2.0,6.0,1.0,14.0,2.0,1.0,1.0,40.0,17.0,,,
87,TOR,2025-04-09,14.0,@,BOS,W 2-1 (11),11.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,37.0,5.0,,,
88,LAA,2025-05-28,13.0,,NYY,L 0-1,9.0,7.0,1.0,1.0,0.0,0.0,5.0,2.0,13.0,0.0,0.0,0.0,38.0,12.0,,,
89,ARI,2025-05-01,13.0,@,NYM,W 4-2,9.0,5.0,2.0,2.0,0.0,2.0,4.0,0.0,13.0,0.0,0.0,0.0,36.0,9.0,,,
90,ATL,2025-05-25,13.0,,SDP,L 3-5,9.0,9.0,5.0,3.0,2.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,36.0,10.0,,,
91,ATL,2025-04-19,13.0,,MIN,W 4-3,9.0,7.0,3.0,3.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,0.0,38.0,11.0,,,
