Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
72,KCR,2025-05-23,0,@,MIN,"L, 1-3",36,33,1,8,6,2,0,0,1,1,0,1,6,0.242,0.306,0.303,0.609,10,1,2,0,0,0
73,LAD,2025-05-24,0,@,NYM,"L, 2-5",32,29,2,5,4,1,0,0,2,1,0,2,10,0.172,0.25,0.207,0.457,6,3,1,0,0,0
74,LAD,2025-05-23,0,@,NYM,"W, 7-5 (13)",54,44,7,10,9,1,0,0,7,0,1,7,11,0.227,0.352,0.25,0.602,11,1,2,0,1,1
75,MIL,2025-05-25,0,@,PIT,"W, 6-5",39,33,6,7,4,3,0,0,5,0,0,5,2,0.212,0.308,0.303,0.611,10,0,0,0,1,0
76,MIL,2025-05-24,0,@,PIT,"L, 1-2",37,35,1,11,10,1,0,0,1,2,2,0,9,0.314,0.351,0.343,0.694,12,1,2,0,0,0
77,MIN,2025-05-25,0,,KCR,"L, 1-2 (10)",34,31,1,3,2,1,0,0,1,1,1,3,12,0.097,0.176,0.129,0.306,4,1,0,0,0,0
78,NYM,2025-05-24,0,,LAD,"W, 5-2",39,32,5,11,9,2,0,0,5,1,1,5,4,0.344,0.462,0.406,0.868,13,1,2,0,0,1
79,NYY,2025-05-25,0,@,COL,"W, 5-4",40,35,5,9,5,3,1,0,5,1,0,4,9,0.257,0.325,0.4,0.725,14,0,0,0,1,2
80,PIT,2025-05-24,0,,MIL,"W, 2-1",33,32,2,9,6,2,1,0,2,0,0,1,10,0.281,0.303,0.406,0.709,13,1,0,0,0,0
81,SDP,2025-05-24,0,@,ATL,"L, 1-7",38,33,1,6,4,2,0,0,1,1,0,4,6,0.182,0.289,0.242,0.532,8,0,1,0,0,0
82,SEA,2025-05-25,0,@,HOU,"L, 3-5",40,38,3,11,10,1,0,0,3,0,0,1,10,0.289,0.325,0.316,0.641,12,0,1,0,0,0
83,SEA,2025-05-24,0,@,HOU,"L, 1-2",36,31,1,5,4,0,1,0,1,2,0,5,11,0.161,0.278,0.226,0.504,7,0,0,0,0,0
84,SFG,2025-05-24,0,@,WSN,"L, 0-3",32,30,0,3,3,0,0,0,0,0,0,2,8,0.1,0.156,0.1,0.256,3,1,0,0,0,0
85,SFG,2025-05-23,0,@,WSN,"W, 4-0",37,30,4,7,7,0,0,0,3,0,1,6,13,0.233,0.378,0.233,0.612,7,2,1,0,0,0
86,STL,2025-05-24,0,,ARI,"W, 6-5",35,32,6,8,6,2,0,0,6,0,0,2,8,0.25,0.314,0.313,0.627,10,0,1,0,0,0
87,STL,2025-05-23,0,,ARI,"W, 4-3",31,25,4,4,3,0,1,0,4,1,0,4,5,0.16,0.3,0.24,0.54,6,2,1,1,0,1
88,TEX,2025-05-23,0,@,CHW,"L, 1-4",33,29,1,3,1,2,0,0,1,0,0,4,7,0.103,0.212,0.172,0.385,5,0,0,0,0,0
89,TOR,2025-05-25,0,@,TBR,"L, 0-13",30,29,0,4,4,0,0,0,0,0,0,1,7,0.138,0.167,0.138,0.305,4,1,0,0,0,0
90,TOR,2025-05-23,0,@,TBR,"L, 1-3",36,28,1,4,3,1,0,0,0,0,0,8,5,0.143,0.333,0.179,0.512,5,2,0,0,0,0
91,WSN,2025-05-25,0,,SFG,"L, 2-3",32,32,2,5,1,4,0,0,1,1,0,0,10,0.156,0.156,0.281,0.438,9,0,0,0,0,0
92,WSN,2025-05-23,0,,SFG,"L, 0-4",32,29,0,5,2,3,0,0,0,0,0,3,3,0.172,0.25,0.276,0.526,8,2,0,0,0,0
